#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	superkingdom	phylum	class	order	family	genus	species
Paludibacter propionicigenes WB4	694427	PRJNA42009	42009	Bacteroidetes/Chlorobi group	Bacteroidetes	3.6855	38.9	NC_014734.1	CP002345.1	-	-	-	1	3118	3020	2010/11/23	2014/01/09	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00016731	GCA_000183135.1	REPR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	Paludibacter propionicigenes
Mesorhizobium loti MAFF303099	266835	PRJNA18	18	Proteobacteria	Alphaproteobacteria	7.5963	62.4657	NC_002678.2	BA000012.4	NC_002679.1,NC_002682.1	BA000013.4,AP003017.1	-	3	7333	7272	2000/12/26	2013/06/10	Complete	Kazusa	-	GCA_000009625.1	REPR	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti
Ehrlichia chaffeensis str. Arkansas	205920	PRJNA325	325	Proteobacteria	Alphaproteobacteria	1.17625	30.1	NC_007799.1	CP000236.1	-	-	-	1	1158	1105	2006/02/21	2013/06/10	Complete	TIGR	SAMN02604010	GCA_000013145.1	REPR	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis
Vibrio parahaemolyticus BB22OP	1211705	PRJNA170885	170885	Proteobacteria	Gammaproteobacteria	5.10352	45.3292	NC_019971.1,NC_019955.1	CP003973.1,CP003972.1	-	-	-	2	4689	4447	2012/12/21	2013/06/11	Complete	Virginia Tech	SAMN02604302	GCA_000328405.1	-	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
Echinicola vietnamensis DSM 17526	926556	PRJNA65035	65035	Bacteroidetes/Chlorobi group	Bacteroidetes	5.60804	44.8	NC_019904.1	CP003346.1	-	-	-	1	4684	4547	2012/12/19	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232018	GCA_000325705.1	REPR	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Echinicola	Echinicola vietnamensis
Gordonia polyisoprenivorans VH2	1112204	PRJNA76601	76601	Actinobacteria	Actinobacteria	5.8443	66.9612	NC_016906.1	CP003119.1	NC_016907.1	CP003120.1	-	2	5188	5110	2012/02/16	2014/01/30	Complete	Goettingen Genomics Laboratory	SAMN02603285	GCA_000247715.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Gordoniaceae	Gordonia	Gordonia polyisoprenivorans
Pseudomonas syringae pv. tomato str. DC3000	223283	PRJNA359	359	Proteobacteria	Gammaproteobacteria	6.53826	58.3401	NC_004578.1	AE016853.1	NC_004633.1,NC_004632.1	AE016855.1,AE016854.1	-	3	5842	5619	2003/03/05	2013/05/23	Complete	TIGR	SAMN02604017	GCA_000007805.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae group genomosp. 3
Chlorobium phaeovibrioides DSM 265	290318	PRJNA12607	12607	Bacteroidetes/Chlorobi group	Chlorobi	1.96686	53	NC_009337.1	CP000607.1	-	-	-	1	1824	1753	2007/04/12	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598271	GCA_000016085.1	REPR	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeovibrioides
Brachyspira pilosicoli B2904	1133568	PRJNA80999	80999	Spirochaetes	Spirochaetia	2.76548	27.8	NC_018607.1	CP003490.1	-	-	-	1	2696	2658	2012/09/14	2014/01/30	Complete	Animal Health and Veterinary Laboratories Agency (AHVLA)	SAMN02602981	GCA_000296575.1	-	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli
Rickettsia peacockii str. Rustic	562019	PRJNA31309	31309	Proteobacteria	Alphaproteobacteria	1.3149	32.6422	NC_012730.1	CP001227.1	NC_012732.1	CP001228.1	-	2	984	947	2009/05/29	2013/06/08	Complete	U of MN Entomology	SAMN02604073	GCA_000021525.1	REPR	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia peacockii
