genome	scaffold	read	read_GC	read_buoyant_density	read_start	read_length	fragment_GC	fragment_buoyant_density	fragment_start	fragment_length
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__135/2	46.8	1.705864	1131078	250	46.2868625120281	1.70536112526179	1124479	35334
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__143/1	52	1.71096	3263563	250	44.4444444444444	1.70355555555556	3240386	39726
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__188/2	38	1.69724	134635	250	42.4187262844836	1.70157035175879	117454	39004
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__194/1	52.4	1.711352	931367	250	44.8160181736535	1.70391969781018	922988	37857
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__204/1	42.4	1.701552	1542461	250	43.4711158788487	1.70260169356127	1522664	43813
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__218/2	48	1.70704	1985300	250	45.3159885177929	1.70440966874744	1950276	43894
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__247/2	33.6	1.692928	1842977	250	43.6856854097758	1.70281197170158	1814301	43536
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__271/1	37.2	1.696456	2119248	250	42.9512887262835	1.70209226295176	2092556	42639
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__302/2	40.8	1.699984	2143366	250	42.8226727276644	1.70196621927311	2098959	46417
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__356/1	49.6	1.708608	1063124	250	45.5189123704402	1.70460853412303	1053419	37145
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__437/1	44.8	1.703904	2209874	250	43.2130739944575	1.70234881251457	2177225	38611
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__468/1	48.4	1.707432	1836396	250	45.1348305773212	1.70423213396577	1801593	38159
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__474/2	46	1.70508	2808024	250	44.021944210618	1.70314150532641	2803185	34451
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__49/2	44	1.70312	1551120	250	43.4276580896423	1.70255910492785	1530859	44421
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__517/2	48	1.70704	1352218	250	43.9154006042814	1.7030370925922	1343958	46667
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__521/1	36	1.69528	568008	250	39.1174215252183	1.69833507309471	544873	40427
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__548/2	48.4	1.707432	741245	250	47.1684934450892	1.70622512357619	720736	37224
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__554/1	47.2	1.706256	831362	250	45.4274399126001	1.70451889111435	799390	43936
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__583/1	33.6	1.692928	2259128	250	42.1978226481809	1.70135386619522	2248093	42988
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__6/1	44	1.70312	2754758	250	44.871600060781	1.70397416805957	2737945	46067
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__600/1	37.2	1.696456	731950	250	43.7038396256709	1.70282976283316	698029	43598
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__639/1	42.4	1.701552	3562878	250	43.4189565909996	1.70255057745918	3538712	40176
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__650/2	43.6	1.702728	247229	250	43.1869646549178	1.70232322536182	210911	40628
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__706/2	41.6	1.700768	2710372	250	44.3436205616875	1.70345674815045	2685143	41767
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__745/1	40.8	1.699984	1254238	250	40.9435589061084	1.70012468772799	1224272	45233
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__773/2	36	1.69528	4003776	250	42.7962197593914	1.7019402953642	3984823	37987
