#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	superkingdom	phylum	class	order	family	genus	species
Metallosphaera sedula DSM 5348	399549	PRJNA17447	17447	Crenarchaeota	Thermoprotei	2.19152	46.2	NC_009440.1	CP000682.1	-	-	-	1	2345	2256	2007/04/25	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598389	GCA_000016605.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
Sulfolobus islandicus L.S.2.15	429572	PRJNA18987	18987	Crenarchaeota	Thermoprotei	2.73627	35.1	NC_012589.1	CP001399.1	-	-	-	1	3071	2737	2009/04/24	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598420	GCA_000022385.1	-	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
Haloterrigena turkmenica DSM 5511	543526	PRJNA30411	30411	Euryarchaeota	Halobacteria	5.44078	64.2484	NC_013743.1	CP001860.1	NC_013745.1,NC_013747.1,NC_013746.1,NC_013749.1,NC_013748.1,NC_013744.1	CP001862.1,CP001864.1,CP001863.1,CP001866.1,CP001865.1,CP001861.1	-	7	5351	5113	2010/01/19	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598471	GCA_000025325.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena	Haloterrigena turkmenica
Methanocaldococcus vulcanius M7	579137	PRJNA33047	33047	Euryarchaeota	Methanococci	1.76174	31.5862	NC_013407.1	CP001787.1	NC_013409.1,NC_013408.1	CP001789.1,CP001788.1	-	3	1808	1742	2009/10/15	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598493	GCA_000024625.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius
Aeropyrum pernix K1	272557	PRJNA211	211	Crenarchaeota	Thermoprotei	1.6697	56.3	NC_000854.2	BA000002.3	-	-	-	1	1752	1700	2001/07/05	2013/06/10	Complete	NITE	-	GCA_000011125.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum pernix
Methanoculleus marisnigri JR1	368407	PRJNA16330	16330	Euryarchaeota	Methanomicrobia	2.4781	62.1	NC_009051.1	CP000562.1	-	-	-	1	2557	2490	2007/02/16	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598365	GCA_000015825.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus marisnigri
Archaeoglobus sulfaticallidus PM70-1	387631	PRJNA196460	196460	Euryarchaeota	Archaeoglobi	2.07693	43.2	NC_021169.1	CP005290.1	-	-	-	1	2288	2216	2013/04/30	2013/11/13	Complete	University of Bergen, Centre for Geobiology, Department of Biology	SAMN02028569	GCA_000385565.1	REPR	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sulfaticallidus
Methanocaldococcus infernus ME	573063	PRJNA32611	32611	Euryarchaeota	Methanococci	1.32819	33.6	NC_014122.1	CP002009.1	-	-	-	1	1513	1441	2010/04/30	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00017484	GCA_000092305.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus infernus
Methanosarcina mazei Tuc01	1236903	PRJNA176295	176295	Euryarchaeota	Methanomicrobia	3.42795	42.5	NC_020389.1	CP004144.1	-	-	-	1	3444	3252	2013/02/22	2013/06/11	Complete	Rede Paraense de Genômica e Proteômica	SAMN02603746	GCA_000341715.1	-	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
Halobacterium sp. NRC-1	64091	PRJNA217	217	Euryarchaeota	Halobacteria	2.57101	65.9192	NC_002607.1	AE004437.1	NC_002608.1,NC_001869.1	AE004438.1,AF016485.1	-	3	2674	2622	1997/08/09	2013/06/27	Complete	University of Massachusetts-Amherst, University of Washington	SAMN02604216	GCA_000006805.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
